Start,End,Open,High,Low,Close,Volume,Market Cap,Close_Z
09/04/2025,10/04/2025,76067.55,83476.48,74670.3,82619.88,89266414296,1.55621E+12,76379.96
08/04/2025,09/04/2025,79265.03,80757.99,76352.03,76379.96,95111641621,1.56237E+12,79261.19
07/04/2025,08/04/2025,77958.02,80226.15,74530.04,79261.19,1.01964E+11,1.54446E+12,78310.34
06/04/2025,07/04/2025,83533.45,83704.76,77296.39,78310.34,29747694062,1.62685E+12,83582.03
05/04/2025,06/04/2025,83769.12,84219.7,82384.97,83582.03,54248864826,1.65411E+12,83879.86
04/04/2025,05/04/2025,83259.08,84676.27,81767.53,83879.86,62632262272,1.65491E+12,83199.95
03/04/2025,04/04/2025,82259.03,83781.7,81307.75,83199.95,77668432600,1.64347E+12,82548.31
02/04/2025,03/04/2025,85170.68,87898.01,82487.4,82548.31,52376111578,1.68819E+12,85216.81
01/04/2025,02/04/2025,82612.64,85417.94,82470.01,85216.81,47683970205,1.66708E+12,82541.29
31/03/2025,01/04/2025,82393.71,83750,81365.02,82541.29,38919650975,1.63385E+12,82345.82
30/03/2025,31/03/2025,82655.67,83524.98,81650.45,82345.82,31733338257,1.64376E+12,82659.11
29/03/2025,30/03/2025,84364.84,84573.51,81771.86,82659.11,42848927373,1.64921E+12,84428.01
28/03/2025,29/03/2025,87134.99,87487.48,83664.96,84428.01,50686956681,1.68925E+12,87233.76
27/03/2025,28/03/2025,86943.66,87706.66,85938.04,87233.76,45790132375,1.72999E+12,86945.41
26/03/2025,27/03/2025,87333.61,88245.26,85937.46,86945.41,47668895554,1.73179E+12,87483.06
25/03/2025,26/03/2025,87345.15,88448.53,86349.98,87483.06,56119416636,1.73192E+12,87365.98
24/03/2025,25/03/2025,85967.42,88654.16,85568.55,87365.98,92018925792,1.7327E+12,85750.02
23/03/2025,24/03/2025,83833.25,85804.35,83833.25,85750.02,65768043880,1.67931E+12,83798.13
22/03/2025,23/03/2025,84074.52,84528.35,83742.1,83798.13,92973716555,1.66982E+12,84050.18
21/03/2025,22/03/2025,84335.64,84789.6,83364.81,84050.18,70499840455,1.66909E+12,84304.83
20/03/2025,21/03/2025,87309.29,87410.59,83765.74,84304.83,62868771995,1.69119E+12,86793.7
19/03/2025,20/03/2025,82658.81,86891.95,82611.59,86793.7,78132906442,1.66674E+12,82799.03
18/03/2025,19/03/2025,83919.26,83949.09,81221.47,82799.03,96487660397,1.63726E+12,84067.57
17/03/2025,18/03/2025,82643.23,84663.79,82643.23,84067.57,47257506664,1.65735E+12,82576.96
16/03/2025,17/03/2025,84346.05,84739.84,82065.51,82576.96,31567641072,1.65787E+12,84368.36
15/03/2025,16/03/2025,84063.17,84652.22,83675.09,84368.36,46550538211,1.67091E+12,83957.61
14/03/2025,15/03/2025,80991.38,85126.59,80866.26,83957.61,56526744238,1.64904E+12,81146.12
13/03/2025,14/03/2025,83827.62,84187.97,79995.68,81146.12,61086516899,1.6326E+12,83887.28
12/03/2025,13/03/2025,82799.95,84070.35,80915.88,83887.28,76918860095,1.63768E+12,82840.24
11/03/2025,12/03/2025,78951.25,83390.39,76794.34,82840.24,89456436399,1.60729E+12,78794.69
10/03/2025,11/03/2025,81277.03,83767.51,77523.99,78794.69,73877158368,1.60622E+12,80771.68
09/03/2025,10/03/2025,86164.45,86449.41,80213.41,80771.68,34642707911,1.67332E+12,86159.9
08/03/2025,09/03/2025,86715.98,86866.21,85265.53,86159.9,72159444574,1.70987E+12,86832.99
07/03/2025,08/03/2025,90117.99,90938.71,85051.68,86832.99,97762631402,1.74611E+12,90056.86
06/03/2025,07/03/2025,90680.38,92738.04,88101.89,90056.86,77139096016,1.79358E+12,90614.42
05/03/2025,06/03/2025,87062.04,90855.97,86429.91,90614.42,90614579558,1.75771E+12,87322.12
04/03/2025,05/03/2025,86086.02,88848.48,81942.81,87322.12,1.07614E+11,1.67893E+12,86286.03
03/03/2025,04/03/2025,93956.01,93956.01,85353.3,86286.03,1.09083E+11,1.80058E+12,94233.81
