Start,End,Open,High,Low,Close,Volume,Market Cap
10/04/2025,11/04/2025,75.9276,75.9276,71.2206,73.7192,1368562864,5566864666
09/04/2025,10/04/2025,68.9056,78.0395,66.7808,75.9764,1427842424,5446631766
08/04/2025,09/04/2025,70.8526,73.2268,68.3709,69.0565,1606221859,5369278245
07/04/2025,08/04/2025,70.3893,72.1457,63.6085,70.9125,2162545505,5214535953
06/04/2025,07/04/2025,82.7568,83.1021,68.8975,70.3884,813180599.7,5954827599
05/04/2025,06/04/2025,84.3297,84.8229,82.004,82.808,841562713.6,6295141834
04/04/2025,05/04/2025,83.4523,84.9898,81.9773,84.3679,1000940852,6329141065
03/04/2025,04/04/2025,81.2931,84.4828,80.4234,83.4237,1496744972,6246386982
02/04/2025,03/04/2025,84.4141,87.6325,81.2341,81.8382,1130706044,6317097056
01/04/2025,02/04/2025,83.1393,85.7492,83.0187,84.6268,1049365187,6384790325
31/03/2025,01/04/2025,86.146,86.146,81.2735,83.0823,1031947189,6327447609
30/03/2025,31/03/2025,85.4801,86.7536,85.0125,86.0416,923816316,6511740767
29/03/2025,30/03/2025,87.4891,87.9502,84.6802,85.4218,1112767903,6517188770
28/03/2025,29/03/2025,92.7239,93.3079,86.0456,87.4969,1171004276,6708897926
27/03/2025,28/03/2025,92.494,94.9064,92.393,92.9681,1138150118,7063457696
26/03/2025,27/03/2025,94.4189,96.3419,91.4743,92.3319,1205529551,7110487156
25/03/2025,26/03/2025,93.5368,94.5101,92.1554,94.4668,1138364375,7048077388
24/03/2025,25/03/2025,91.4267,95.5118,90.9867,93.6223,1078413157,7060817704
23/03/2025,24/03/2025,91.3764,92.8915,90.9117,91.4692,741958476.9,6938249100
22/03/2025,23/03/2025,90.9391,92.0839,90.6315,91.2484,903087606.8,6900532551
21/03/2025,22/03/2025,93.3427,93.7583,91.1597,91.1597,1063544305,7014173408
20/03/2025,21/03/2025,94.4286,94.4468,90.4566,93.2885,1299020813,6992052627
19/03/2025,20/03/2025,89.9889,94.1123,89.5152,94.0596,1302006595,6895107242
18/03/2025,19/03/2025,92.0953,92.1234,87.5408,90.0927,1280166018,6744265186
17/03/2025,18/03/2025,90.4334,94.1238,90.4334,92.4247,1323982763,7024889600
16/03/2025,17/03/2025,92.463,92.6393,88.9054,90.4526,1016697402,6873771927
15/03/2025,16/03/2025,91.5277,93.9926,91.2006,92.5416,1107471985,7003435865
14/03/2025,15/03/2025,88.0291,92.554,87.9227,91.4851,1149099168,6828996531
13/03/2025,14/03/2025,91.6873,91.6873,86.4984,88.0717,1231366865,6731371121
12/03/2025,13/03/2025,90.3697,92.1668,88.0659,91.6221,1587880602,6824000063
